Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
,,ब्रह्मसूत्रे द्वितीयाध्याये प्रथमद्वितीयतृतीयपादाः शाङ्करभाष्योपेताः [SK-133] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,बृहदारण्यकोपनिषदि तृतीयचतुर्थाध्यायौ सशांकरभाष्यौ [SK-104] [CORE],Integrated 5 Year MA in Sanskrit(M),8,25,25
,,सिद्धान्तलेशसङ्ग्रहे प्रथमपरिच्छेदः [SK-167] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,सिद्धान्तलेश-सङ्ग्रहे द्वितीयतृतीयचतुर्थ-परिच्छेदाः [SK-168] [CORE],Integrated 5 Year MA in Sanskrit(M),10,33,33
,,बृहदारण्यकोपनिषदि तृतीयचतुर्थाध्यायौ सशांकरभाष्यौ [SK-104] [CORE],Basic Course in Sanskrit and Philosophy,1,25,25
,,कठोपनिषत् शांकरभाष्यसमेता [SK-101] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
A28,Faculty,Spiritual Heritage of India [SH-604] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,Spiritual Heritage of India [SH-604] [CORE],Integrated 5 Year MA in Sanskrit(M),8,9,9
,,Spiritual Heritage of India [SH-605] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
A29,Faculty,Linear Algebra and Matrix Computation [DA109] [CORE],MSc in Big Data Analytics,1,0,0
,,Machine Learning [DA222] [CORE],MSc in Big Data Analytics,2,15,15
,,Natural Language Processing [DA243] [ELECT],MSc in Big Data Analytics,3,0,0
,,Machine Learning [DA222] [ELECT],MSc in Computer Science,2,15,15
,,Natural Language Processing [DA243] [ELECT],MSc in Computer Science,3,0,0
A30,Faculty,Elementary Number Theory [M 209] [CORE],MSc in Mathematics,1,0,0
,,Analytic Number Theory [M 307] [ELECT],MSc in Mathematics,4,16,16
A31,Faculty,Biostatistics and Bioinformatics [CBT 208] [CORE],MSc in Agricultural Biotechnology,2,8                            		[Th: 2- Pr: 2],3
,,Biomechanics of Human Movement (Th+Pr) [SSMSCTP 104 ] [CORE],MSc in Sports Science,1,0,0
,,Biomechanics of Human Movement II [SSMSCTP 204] [CORE],MSc in Sports Science,2,21,21
,,Research methodology & Biostatistics  [SSMSCT&P 302] [CORE],MSc in Sports Science,3,0,0
,,Biostatistics and Bioinformatics [CBT 208] [CORE],MSc in Medical Biotechnology,2,8,3
A32,Faculty,Approximation and Online algorithms [CS312] [CORE],MSc in Computer Science,2,0,0
,,Computational Geometry [CS213] [CORE],MSc in Computer Science,3,0,0
A33,Faculty,Statistics I [DA102] [CORE],MSc in Big Data Analytics,1,0,0
,,Time Series and Survival Analysis [DA312] [CORE],MSc in Big Data Analytics,2,21,21
,,Multivariate Statistics [DA310] [CORE],MSc in Big Data Analytics,3,0,0
A34,Faculty,Hindi (Compulsory Language) [HN-642] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,Hindi (Compulsory Language) [HN-642] [CORE],Integrated 5 Year MA in Sanskrit(M),6,12,12
